 Event ID : 15
-4.90825 -14.2027 -10.592 82 65.75
250.32 -53.8755 0.544 86 412.012
245.412 -56.8448 3.328 87 1093.06
49.0824 -22.704 6.112 88 148.167
-100.619 15.5519 6.112 88 751.733
-115.344 24.0532 6.112 88 3904.83
250.32 14.3382 8.896 89 64.2625
-80.9859 9.95207 8.896 89 265.25
-41.72 9.95207 8.896 89 136.75
-95.7106 9.95207 8.896 89 302.05
-112.889 28.3038 11.68 90 3764.3
-115.344 26.9547 11.68 90 3719.4
245.412 -62.3768 11.68 90 2135.71
250.32 -65.3461 14.464 91 307.213
46.6282 -24.0532 17.248 92 1291.28
-112.889 22.704 17.248 92 1501.95
-110.435 26.9547 17.248 92 3767.4
240.504 -65.3461 17.248 92 231.113
-80.9859 7.05056 20.032 93 1648.07
-112.889 31.2053 22.816 94 3716.77
240.504 -70.8781 22.816 94 1211.71
-71.1694 7.05056 22.816 94 580.367
245.412 -73.8474 25.6 95 1773.41
-110.435 32.5545 25.6 95 3741.33
235.595 -73.8474 28.384 96 67.9125
245.412 -79.3795 28.384 96 328.787
-107.981 31.2053 31.168 97 3831.85
-107.981 28.3038 31.168 97 2069.85
46.6282 -26.9547 33.952 98 197.167
44.1741 -22.704 33.952 98 464.817
235.595 -79.3795 36.736 99 455.688
235.595 -124.855 36.736 99 70.3375
240.504 -82.3487 36.736 99 2238.84
-117.798 28.3038 36.736 99 115.083
-110.435 24.0532 39.52 100 445.167
-105.527 32.5545 39.52 100 3778.02
-107.981 22.704 39.52 100 742.467
-103.073 22.704 39.52 100 205.917
-105.527 35.456 42.304 101 3677.1
240.504 -87.8808 42.304 101 523.488
-110.435 35.456 42.304 101 2185.8
-107.981 36.8052 45.088 102 3680.15
44.1741 -28.3038 45.088 102 192.233
235.595 -90.85 50.656 104 1444.59
-103.073 31.2053 53.44 105 76.1
41.72 -24.0532 53.44 105 528.133
230.687 -87.8808 53.44 105 332.787
-107.981 48.208 56.224 106 217.3
235.595 -96.3821 56.224 106 367.338
-107.981 45.3065 56.224 106 1313.25
-103.073 36.8052 56.224 106 3717.75
41.72 -26.9547 59.008 107 828.35
-103.073 39.7067 61.792 108 3707.43
-105.527 49.5571 61.792 108 1056.58
-107.981 39.7067 61.792 108 1301.48
225.779 -96.3821 64.576 109 663.988
230.687 -99.3513 64.576 109 1280.39
-105.527 41.0558 67.36 110 1731.55
230.687 -104.883 70.144 111 178.988
39.2659 -22.704 70.144 111 80.1167
-100.619 41.0558 70.144 111 3756.36
-100.619 35.456 70.144 111 1952
220.871 -99.3513 72.928 112 171.838
-105.527 43.9573 72.928 112 699.733
-103.073 45.3065 75.712 113 266.183
-98.1647 39.7067 75.712 113 3675.51
225.779 -107.853 75.712 113 681.037
-98.1647 36.8052 75.712 113 881.183
39.2659 -28.3038 78.496 114 512.45
220.871 -104.883 78.496 114 1445.74
-132.522 70.8781 78.496 114 175.913
-132.522 65.3461 81.28 115 521.113
-152.155 87.8808 81.28 115 782.713
-100.619 66.5598 84.064 116 217.413
215.962 -107.853 86.848 117 571.488
220.871 -116.354 86.848 117 104.838
-100.619 43.9573 86.848 117 2616.6
215.962 -113.385 89.632 118 1810.04
36.8118 -24.0532 89.632 118 124.683
-95.7106 41.0558 89.632 118 3704.38
-95.7106 43.9573 92.416 119 3709.82
-98.1647 45.3065 92.416 119 3138.92
39.2659 -31.2053 95.2 120 57.2167
211.054 -116.354 97.984 121 1229.59
-95.7106 35.456 97.984 121 80.9
-93.2565 39.7067 97.984 121 973.65
-93.2565 45.3065 97.984 121 3749.35
36.8118 -26.9547 100.768 122 677.733
-98.1647 48.208 100.768 122 270.963
-142.339 48.3434 100.768 122 737.35
206.146 -113.385 103.552 123 145.637
211.054 -121.886 103.552 123 852.938
-95.7106 49.5571 106.336 124 319.813
-142.339 53.8755 109.12 125 363.567
-103.073 48.208 109.12 125 747.267
-90.8024 43.9573 109.12 125 3611.22
-100.619 58.0584 111.904 126 97.3625
-93.2565 48.208 111.904 126 3172.51
206.146 -124.855 111.904 126 1058.69
201.238 -121.886 114.688 127 860.188
-95.7106 52.4586 114.688 127 130.063
206.146 -130.387 114.688 127 86.0875
-49.0823 36.8052 117.472 128 116.967
-88.3483 45.3065 117.472 128 3608.22
-46.6282 35.456 117.472 128 199.767
-127.614 56.8448 117.472 128 248.367
-132.522 48.3434 117.472 128 63.0667
-88.3483 48.208 120.256 129 3565.7
-176.696 113.385 120.256 129 96.4125
-90.8024 49.5571 120.256 129 2728.21
34.3577 -28.3038 120.256 129 607.8
-98.1647 53.8078 123.04 130 71.5125
201.238 -133.357 123.04 130 67.5875
196.329 -124.855 123.04 130 834.337
-90.8024 52.4586 125.824 131 321.713
196.329 -130.387 125.824 131 1358.54
-85.8941 49.5571 128.608 132 3591.6
34.3577 -31.2053 131.392 133 261.783
-85.8941 43.9573 131.392 133 1858.62
-137.431 45.3742 131.392 133 450.267
31.9035 -26.9547 134.176 134 499.933
-83.44 48.208 134.176 134 3328.57
31.9035 -24.0532 134.176 134 80.3833
31.9035 -32.5545 134.176 134 158.483
191.421 -133.357 134.176 134 1405.49
-76.0777 43.9573 136.96 135 556.667
-88.3483 53.8078 136.96 135 116.517
186.513 -130.387 136.96 135 779.287
-85.8941 52.4586 139.744 136 1321.45
-83.44 45.3065 139.744 136 2114.35
191.421 -138.889 139.744 136 99.3875
186.513 -141.858 142.528 137 89.7875
-80.9859 49.5571 145.312 138 2533.88
181.605 -133.357 145.312 138 881.037
-80.9859 43.9573 148.096 139 473.117
181.605 -138.889 148.096 139 1065.3
-83.44 53.8078 150.88 140 968.15
-80.9859 52.4586 150.88 140 2962.45
-78.5318 48.208 153.664 141 2925.5
176.696 -141.858 153.664 141 1001.75
171.788 -133.357 159.232 143 82.9875
171.788 -138.889 159.232 143 1403.35
-78.5318 45.3065 159.232 143 814.35
-132.522 53.8755 159.232 143 150.65
-78.5318 53.8078 162.016 144 2086.98
-76.0777 49.5571 162.016 144 2850.68
-76.0777 52.4586 164.8 145 2822.12
166.88 -141.858 167.584 146 1343.5
29.4494 -31.2053 167.584 146 319.267
29.4494 -28.3038 167.584 146 527.767
-78.5318 56.7093 170.368 147 231.3
-73.6235 45.3065 170.368 147 338
166.88 -147.39 170.368 147 279.3
-76.0777 58.0584 173.152 148 95.2125
26.9953 -26.9547 173.152 148 404.7
161.972 -138.889 173.152 148 400.9
161.972 -150.359 175.936 149 152.9
-73.6235 48.208 175.936 149 2898.45
26.9953 -24.0532 175.936 149 65.2333
-73.6235 53.8078 175.936 149 2418.63
-137.431 56.8448 178.72 150 363.567
-71.1694 52.4586 181.504 151 3694.4
-73.6235 56.7093 181.504 151 494.512
157.064 -141.858 181.504 151 813.4
-71.1694 49.5571 184.288 152 3596.8
-88.3482 87.813 187.072 153 206.05
152.155 -138.889 187.072 153 135.6
152.155 -150.359 187.072 153 516.8
157.064 -147.39 187.072 153 525.25
-71.1694 43.9573 187.072 153 98.75
-103.073 121.886 189.856 154 284
-73.6235 70.8104 189.856 154 74.85
-90.8024 94.9652 189.856 154 143.4
147.247 -141.858 192.64 155 304.95
-68.7153 53.8078 192.64 155 3183.55
-71.1694 58.0584 192.64 155 236.7
147.247 -147.39 195.424 156 1017.2
-68.7153 48.208 195.424 156 2427.3
-103.073 138.889 195.424 156 94.35
-68.7153 56.7093 198.208 157 742.85
-66.2612 52.4586 198.208 157 3097.4
24.5412 -28.3038 198.208 157 365.5
-68.7153 45.3065 200.992 158 231.833
-66.2612 49.5571 200.992 158 3084
-112.889 133.357 200.992 158 167.2
142.339 -150.359 203.776 159 548.3
-66.2612 43.9573 206.56 160 104.733
-66.2612 58.0584 206.56 160 286.9
-66.2612 60.9599 209.344 161 171.35
137.431 -147.39 209.344 161 1004.55
-63.8071 53.8078 209.344 161 3077.85
137.431 -141.858 209.344 161 180.9
-63.8071 45.3065 212.128 162 323.467
-63.8071 56.7093 212.128 162 775.15
132.522 -150.359 214.912 163 661
-83.44 87.813 214.912 163 93.65
-63.8071 48.208 214.912 163 2269.8
-61.353 49.5571 217.696 164 2978.85
-61.353 52.4586 217.696 164 3432.95
-85.8941 92.0637 220.48 165 234.6
-61.3529 43.9573 220.48 165 123.617
127.614 -147.39 223.264 166 849.65
127.614 -141.858 223.264 166 167.3
-61.3529 58.0584 223.264 166 414.6
-63.8071 62.3091 223.264 166 103.8
-93.2565 104.816 223.264 166 255.4
-68.7153 65.2106 226.048 167 294.25
-71.1694 66.5598 226.048 167 84.05
-95.7106 100.565 228.832 168 96.2
-58.8988 53.8078 228.832 168 2811.4
-58.8988 56.7093 228.832 168 699.55
-58.8988 48.208 228.832 168 2767.8
-56.4447 49.5571 231.616 169 2821.5
-56.4447 52.4586 231.616 169 2958.8
-90.8024 100.565 231.616 169 114.6
-56.4447 58.0584 231.616 169 150.3
122.706 -138.889 231.616 169 65.7
122.706 -150.359 231.616 169 627.2
19.6329 -31.2053 234.4 170 162.183
22.0871 -24.0532 234.4 170 135.7
-58.8988 45.3065 234.4 170 533.733
117.798 -147.39 237.184 171 1038.2
-95.7106 103.467 237.184 171 97.55
117.798 -141.858 237.184 171 296.6
-80.9859 83.5624 239.968 172 231.6
-71.1694 69.4613 239.968 172 273.9
112.889 -150.359 242.752 173 570.6
-56.4447 43.9573 242.752 173 328.8
-53.9906 53.8078 245.536 174 1857
112.889 -138.889 245.536 174 113.05
-53.9906 48.208 245.536 174 2944.1
-53.9906 56.7093 245.536 174 413.95
-51.5365 49.5571 248.32 175 3324.45
107.981 -141.858 248.32 175 366.4
-56.4447 60.9599 248.32 175 65.05
107.981 -147.39 248.32 175 800.85
-51.5365 52.4586 251.104 176 2610.05
-53.9906 45.3065 251.104 176 1074.85
-73.6235 73.7119 253.888 177 191.25
-68.7153 70.8104 253.888 177 74.55
-103.073 133.357 253.888 177 137.1
-49.0823 56.7093 256.672 178 149.45
103.073 -150.359 256.672 178 226.65
-66.2612 66.5598 256.672 178 236.25
103.073 -138.889 256.672 178 181.3
17.1788 -26.9547 256.672 178 327.7
-49.0823 48.208 259.456 179 3304.45
-49.0823 53.8078 259.456 179 1311.4
14.7247 -31.2053 259.456 179 67.2167
-51.5365 43.9573 259.456 179 878.9
-51.5365 58.0584 259.456 179 132.45
98.1647 -147.39 262.24 180 535.45
-61.353 66.5598 265.024 181 244.75
