 Event ID : 17
-4.90825 -5.70141 -99.68 50 93.1875
-76.0777 -49.5571 3.328 87 903.838
39.2659 39.7067 3.328 87 3683.4
-90.8024 -41.0558 3.328 87 406
-88.3483 -39.7067 6.112 88 968.5
46.6282 52.4586 8.896 89 57.45
-73.6235 -48.208 8.896 89 465.788
44.1741 36.8052 8.896 89 494.7
85.8941 111.968 8.896 89 196.9
90.8023 109.066 8.896 89 84.4
88.3482 113.317 8.896 89 92.05
53.9906 65.2106 8.896 89 179.6
-73.6235 -45.3065 11.68 90 791.338
-88.3483 -36.8052 11.68 90 344.2
88.3482 99.2159 14.464 91 439.35
39.2659 36.8052 14.464 91 3684.25
36.8118 41.0558 14.464 91 148.65
29.4494 31.2053 14.464 91 117.7
26.9953 32.5545 14.464 91 78.65
41.72 35.456 14.464 91 76.8
85.8941 103.467 17.248 92 457
-71.1694 -43.9573 17.248 92 475.788
-85.8941 -35.456 17.248 92 775.2
39.2659 45.3065 20.032 93 222.95
36.8118 35.456 20.032 93 3571.8
85.8941 117.568 20.032 93 185.65
93.2565 107.717 20.032 93 719.7
-83.44 -36.8052 20.032 93 256.65
36.8118 32.5545 22.816 94 3693.3
90.8023 111.968 22.816 94 544.7
44.1741 53.8078 22.816 94 500.95
34.3577 36.8052 22.816 94 187.3
-80.9859 -35.456 22.816 94 117.45
-85.8941 -32.5545 22.816 94 127.95
51.5365 60.9599 25.6 95 68
49.0823 164.393 25.6 95 21.1625
-71.1694 -41.0558 25.6 95 803.8
-83.44 -31.2053 25.6 95 312
88.3482 116.218 25.6 95 81.9
-80.9859 -32.5545 28.384 96 639.45
-68.7153 -39.7067 28.384 96 946.188
39.2659 31.2053 28.384 96 239.2
34.3577 31.2053 28.384 96 3590.5
41.72 49.5571 31.168 97 222.75
93.2565 116.354 31.168 97 77.35
56.4447 69.4613 31.168 97 372.45
58.8988 53.8078 33.952 98 71.05
46.6282 58.0584 33.952 98 344.15
73.6235 70.8104 33.952 98 62.25
-78.5318 -31.2053 33.952 98 485.4
93.2565 121.886 33.952 98 75.45
31.9035 32.5545 36.736 99 277.8
61.3529 58.0584 36.736 99 107.85
-68.7153 -36.8052 36.736 99 512.1
-78.5318 -28.3038 36.736 99 602.9
-76.0777 -26.9547 42.304 101 828.05
39.2659 28.3038 42.304 101 58.5333
122.706 155.891 42.304 101 694.05
34.3577 28.3038 42.304 101 3623.25
-66.2612 -35.456 42.304 101 740.15
36.8118 26.9547 42.304 101 431.483
-73.6235 -28.3038 45.088 102 250.9
49.0824 62.3091 45.088 102 293.65
-63.8071 -36.8052 45.088 102 209.45
71.1694 60.9599 47.872 103 154.25
36.8118 24.0532 47.872 103 64.3333
-66.2612 -32.5545 47.872 103 300.6
31.9035 24.0532 47.872 103 3784.63
-61.353 -35.456 47.872 103 66.75
31.9035 26.9547 47.872 103 3646
-71.1694 -26.9547 50.656 104 183.05
-76.0777 -24.0532 50.656 104 186.1
53.9906 70.8104 50.656 104 353.1
39.2659 53.8078 53.44 105 69.05
-63.8071 -31.2053 53.44 105 478.7
-73.6235 -22.704 53.44 105 286.35
29.4494 28.3038 53.44 105 1407.9
98.1647 124.855 53.44 105 90.05
29.4494 22.704 53.44 105 3739.72
34.3577 22.704 53.44 105 374.017
-71.1694 -24.0532 53.44 105 686.25
44.1741 22.704 56.224 106 70.0667
71.1694 58.0584 56.224 106 82.5
-61.353 -32.5545 56.224 106 430.35
-63.8071 -28.3038 59.008 107 61.45
26.9953 26.9547 59.008 107 308.65
-68.7153 -22.704 59.008 107 859.75
66.2612 32.5545 61.792 108 364.167
-66.2612 -24.0532 61.792 108 146.55
-61.353 -26.9547 61.792 108 202.5
-58.8988 -31.2053 61.792 108 284.4
41.72 24.0532 61.792 108 97.9167
29.4494 19.8025 64.576 109 3470.55
-58.8988 -28.3038 64.576 109 671.35
44.1741 28.3038 64.576 109 92.6
26.9953 24.0532 64.576 109 2974.9
-63.8071 -22.704 67.36 110 74.2
80.9859 35.456 67.36 110 76.1833
-68.7153 -19.8025 67.36 110 481.15
73.6235 22.704 70.144 111 189.817
24.5412 22.704 70.144 111 1447.32
-56.4447 -26.9547 70.144 111 542.2
31.9035 18.4534 70.144 111 121.917
73.6235 28.3038 70.144 111 207.367
-66.2612 -18.4534 72.928 112 452.2
-53.9906 -28.3038 72.928 112 72.5875
24.5412 19.8025 72.928 112 3339.3
26.9953 18.4534 72.928 112 3738.2
-63.8071 -19.8025 75.712 113 456.7
-51.5365 -26.9547 75.712 113 76.7
-56.4447 -24.0532 75.712 113 428.35
22.0871 24.0532 75.712 113 89.5667
56.4447 18.4534 78.496 114 83.5833
39.2659 22.704 78.496 114 106.783
53.9906 19.8025 78.496 114 294.633
19.6329 22.704 78.496 114 74.6333
66.2612 24.0532 78.496 114 344.783
56.4447 24.0532 78.496 114 326.333
19.6329 5.70141 78.496 114 274.733
-53.9906 -22.704 78.496 114 562.65
-61.353 -18.4534 81.28 115 457.95
-51.5365 -24.0532 81.28 115 375.95
26.9953 15.5519 81.28 115 1541.95
-53.9906 -19.8025 84.064 116 88
29.4494 14.2027 84.064 116 80.2333
22.0871 18.4534 84.064 116 3377.08
-58.8988 -19.8025 84.064 116 71.05
-61.353 -15.5519 84.064 116 370.75
73.6235 36.8052 86.848 117 106.8
24.5412 14.2027 86.848 117 2754.25
22.0871 15.5519 86.848 117 3719.2
-58.8988 -14.2027 89.632 118 339.85
-51.5365 -18.4534 89.632 118 142.85
-49.0824 -22.704 89.632 118 266.25
19.6329 19.8025 89.632 118 354.15
-56.4447 -15.5519 92.416 119 413.6
-49.0824 -19.8025 92.416 119 456.85
-58.8988 -11.3012 92.416 119 72.85
19.6329 14.2027 92.416 119 3747.43
24.5412 11.3012 95.2 120 252.033
17.1788 18.4534 95.2 120 148.283
-53.9906 -14.2027 97.984 121 452.55
-46.6282 -18.4534 97.984 121 449.9
-53.9906 -11.3012 97.984 121 334.7
19.6329 11.3012 100.768 122 3718.3
-44.1741 -19.8025 100.768 122 231.3
-46.6282 -15.5519 100.768 122 182.65
-51.5365 -15.5519 100.768 122 148.85
17.1788 15.5519 100.768 122 2166.85
22.0871 9.95207 100.768 122 560.25
