 Event ID : 45
220.871 70.8781 -121.952 42 22.3
-157.064 141.858 -2.24 85 808.875
17.1788 -43.9573 -2.24 85 3636.6
19.633 -45.3065 -2.24 85 3749.1
7.36237 -26.9547 3.328 87 143.55
39.2659 -65.2106 3.328 87 226.4
22.0871 -43.9573 6.112 88 61.3
-152.155 138.889 6.112 88 762.375
17.1788 -41.0558 8.896 89 234.2
39.2659 -70.8104 11.68 90 1597.7
14.7247 -45.3065 11.68 90 3856.8
4.90825 -28.3038 11.68 90 613.1
4.90825 -22.704 11.68 90 359.35
46.6282 -69.4613 11.68 90 148.4
41.72 -69.4613 11.68 90 90.65
7.36237 -32.5545 11.68 90 625.95
36.8118 -69.4613 11.68 90 1948.55
-19.6329 14.2027 11.68 90 274.45
44.1741 -65.2106 11.68 90 458.35
14.7247 -39.7067 11.68 90 337.35
-147.247 141.858 14.464 91 923.625
24.5412 -62.3091 14.464 91 72.25
-22.0871 15.5519 14.464 91 234.45
-22.0871 18.4534 17.248 92 114.5
17.1788 -49.5571 17.248 92 107.6
-26.9953 18.4534 17.248 92 140.4
-24.5412 19.8025 17.248 92 203.7
17.1788 -60.9599 22.816 94 3005.95
-29.4494 22.704 22.816 94 166.05
17.1788 -52.4586 25.6 95 105.65
58.8988 -87.813 25.6 95 353.8
-142.339 138.889 25.6 95 1169.76
53.9906 -87.813 25.6 95 1286.45
49.0824 -87.813 25.6 95 2795.6
12.2706 -43.9573 25.6 95 3673.83
-31.9035 26.9547 25.6 95 210.338
14.7247 -48.208 25.6 95 1378.1
-31.9035 24.0532 25.6 95 93.95
61.3529 -86.4639 28.384 96 423.9
-34.3577 28.3038 28.384 96 166.488
14.7247 -53.8078 28.384 96 74.45
51.5365 -86.4639 28.384 96 59.05
46.6282 -86.4639 28.384 96 214.75
56.4447 -83.5624 28.384 96 374.55
17.1788 -58.0584 28.384 96 331.15
-137.431 141.858 31.168 97 899.913
-34.3577 31.2053 31.168 97 152.438
-36.8118 32.5545 31.168 97 175.637
-36.8118 35.456 33.952 98 108.137
-39.2659 36.8052 36.736 99 112.588
-41.72 41.0558 39.52 100 118.637
-39.2659 39.7067 39.52 100 165.838
9.81649 -45.3065 42.304 101 3629.5
-41.72 43.9573 42.304 101 168.938
-132.522 138.889 45.088 102 974.312
-44.1741 45.3065 45.088 102 82.5875
-46.6282 49.5571 47.872 103 74.0875
-41.72 49.5571 47.872 103 138.537
