 Event ID : 27
-103.073 -116.354 -99.68 50 30.075
-4.90825 -2.7999 -80.192 57 41.4167
-7.36237 -1.45075 -74.624 59 57.6333
-68.7153 -36.8052 -2.24 85 3714.23
110.435 -35.456 3.328 87 138
105.527 -35.456 3.328 87 257.85
7.36234 49.5571 6.112 88 1581.95
103.073 -36.8052 6.112 88 370.983
100.619 -35.456 6.112 88 192.333
98.1647 -36.8052 8.896 89 244.183
-71.1694 -35.456 8.896 89 3719.47
-7.36236 -7.05056 8.896 89 57.3167
-68.7153 -39.7067 8.896 89 82.7333
95.7106 -35.456 8.896 89 113.083
-66.2612 -35.456 8.896 89 2062.42
-63.8071 -36.8052 8.896 89 184.867
-61.353 -35.456 8.896 89 128.117
-66.2612 -41.0558 8.896 89 173.383
-56.4447 -24.0532 11.68 90 398.267
-90.8024 -43.9573 11.68 90 524.717
-49.0824 -22.704 11.68 90 129.567
-51.5365 -18.4534 11.68 90 225.367
88.3482 -36.8052 11.68 90 220.917
93.2565 -39.7067 11.68 90 166.167
88.3482 -39.7067 11.68 90 336.717
93.2565 -36.8052 11.68 90 345.417
90.8024 -35.456 11.68 90 70.7167
83.44 -36.8052 14.464 91 85.5
-49.0824 -19.8025 14.464 91 131.633
7.36234 52.4586 14.464 91 1803.3
-53.9906 -19.8025 14.464 91 106.483
83.44 -39.7067 14.464 91 239.6
-80.9859 -43.9573 17.248 92 68.9
-9.81648 -5.70141 17.248 92 103
-61.353 -24.0532 17.248 92 102.65
-58.8988 -19.8025 17.248 92 76.15
78.5318 -39.7067 17.248 92 229.033
78.5318 -36.8052 17.248 92 112.783
-22.0871 -9.95207 17.248 92 81.4
-53.9906 -22.704 17.248 92 117.55
-46.6282 -24.0532 17.248 92 141.6
-46.6282 -18.4534 17.248 92 118.35
-26.9953 -15.5519 17.248 92 92.2
9.81649 53.8078 20.032 93 1231.2
73.6235 -39.7067 20.032 93 128.283
-71.1694 -41.0558 20.032 93 2799.83
73.6235 -36.8052 20.032 93 112.683
68.7153 -36.8052 20.032 93 176.733
-51.5365 -24.0532 22.816 94 267.983
-29.4494 -14.2027 22.816 94 1038.48
-88.3483 -45.3065 22.816 94 207.133
-71.1694 -32.5545 22.816 94 3676.78
-56.4447 -26.9547 22.816 94 119.533
66.2612 -35.456 22.816 94 138.85
9.81649 56.7093 22.816 94 2479.55
-51.5365 -26.9547 22.816 94 80.3833
63.8071 -36.8052 22.816 94 263.85
-58.8988 -22.704 22.816 94 107.533
61.3529 -35.456 25.6 95 266.033
-31.9035 -15.5519 25.6 95 101.25
58.8988 -36.8052 25.6 95 147.283
7.36237 58.0584 25.6 95 134.6
-66.2612 -32.5545 28.384 96 60.7333
12.2706 58.0584 31.168 97 1062.7
44.1741 -28.3038 33.952 98 165.233
-73.6235 -36.8052 33.952 98 1027.67
44.1741 -31.2053 33.952 98 108.333
41.72 -26.9547 33.952 98 102.583
46.6282 -32.5545 33.952 98 89.7833
9.81649 62.3091 33.952 98 156.1
36.8118 -26.9547 36.736 99 90.7833
39.2659 -28.3038 36.736 99 73.6833
12.2706 60.9599 36.736 99 1748.65
36.8118 -24.0532 36.736 99 171.883
34.3577 -22.704 39.52 100 186.7
26.9953 -15.5519 42.304 101 134.583
14.7247 62.3091 42.304 101 1441.05
